ensayo;ambiente;date;ppfd.amb;protocolo;ppfd.act;genotipo;cond.hidr;pos;hoja;filt.pot;ciclo;sphi;phiPS2;qp.fo;qs.fo;phiNPQ;phiNO;phiNO.psII;phiNO.basal;time.act.On;time.act.Off;sphiNPQ;phiNPQfast;phiNPQslow
MN.3;Inv;T1;450;nion.1.act25;1000;g2;d;1;X;T1_1_g2_d_para.asc;9;1.0000000000000002;0.297;0.506;0.587;0.538;0.165;0.0681;0.0969;348.1;296;0.538;0.512;0.0258
MN.3;Inv;T1;450;nion.1.act25;1000;gt;d;10;X;T1_10_gt_d_para.asc;9;1;0.468;0.699;0.669;0.395;0.137;0.052;0.0855;348.1;296;0.395;0.373;0.0219
MN.3;Inv;T1;450;nion.1.act25;1000;g1;c;11;X;T1_11_g1_c_para.asc;9;0.9999999999999999;0.278;0.398;0.698;0.518;0.204;0.119;0.0856;348.1;296;0.518;0.5;0.0174
MN.3;Inv;T1;450;nion.1.act25;1000;g2;d;12;X;T1_12_g2_d_para.asc;9;1;0.301;0.459;0.657;0.566;0.133;0.0677;0.0654;348.1;296;0.566;0.541;0.025
MN.3;Inv;T1;450;nion.1.act25;1000;g1;d;13;X;T1_13_g1_d_para.asc;9;1;0.144;0.233;0.619;0.641;0.215;0.119;0.0957;348.1;296;0.641;0.588;0.0531
MN.3;Inv;T1;450;nion.1.act25;1000;gt;c;14;X;T1_14_gt_c_para.asc;9;1;0.257;0.351;0.733;0.574;0.169;0.108;0.0607;348.1;296;0.574;0.544;0.0293
MN.3;Inv;T1;450;nion.1.act25;1000;gc;d;15;X;T1_15_gc_d_para.asc;9;0.9999999999999999;0.331;0.488;0.68;0.422;0.246;0.128;0.118;348.1;296;0.422;0.415;0.00734
MN.3;Inv;T1;450;nion.1.act25;1000;g1;c;16;X;T1_16_g1_c_para.asc;9;1;0.344;0.492;0.699;0.518;0.138;0.0745;0.0631;348.1;296;0.518;0.495;0.0235
MN.3;Inv;T1;450;nion.1.act25;1000;gc;c;17;X;T1_17_gc_c_para.asc;9;1;0.165;0.25;0.662;0.658;0.177;0.105;0.0716;348.1;296;0.658;0.608;0.0497
MN.3;Inv;T1;450;nion.1.act25;1000;gt;d;18;X;T1_18_gt_d_para.asc;9;0.9999999999999999;0.455;0.649;0.701;0.399;0.146;0.0659;0.0801;348.1;296;0.399;0.381;0.0187
MN.3;Inv;T1;450;nion.1.act25;1000;g2;c;19;X;T1_19_g2_c_para.asc;9;1;0.269;0.432;0.623;0.58;0.151;0.0731;0.0779;348.1;296;0.58;0.551;0.0289
MN.3;Inv;T1;450;nion.1.act25;1000;gc;c;2;X;T1_2_gc_c_para.asc;9;1;0.236;0.386;0.611;0.609;0.155;0.0763;0.0791;348.1;296;0.609;0.564;0.0446
MN.3;Inv;T1;450;nion.1.act25;1000;gt;d;20;X;T1_20_gt_d_para.asc;9;0.9999999999999999;0.596;0.797;0.747;0.246;0.158;0.0594;0.099;348.1;296;0.246;0.234;0.0123
MN.3;Inv;T1;450;nion.1.act25;1000;g2;d;21;X;T1_21_g2_d_para.asc;9;1;0.428;0.649;0.659;0.389;0.183;0.0741;0.109;348.1;296;0.389;0.372;0.0164
MN.3;Inv;T1;450;nion.1.act25;1000;gc;c;22;X;T1_22_gc_c_para.asc;9;1;0.325;0.475;0.684;0.558;0.117;0.0623;0.0549;348.1;296;0.558;0.523;0.0353
MN.3;Inv;T1;450;nion.1.act25;1000;g1;d;23;X;T1_23_g1_d_para.asc;9;1;0.366;0.559;0.655;0.474;0.16;0.0728;0.087;348.1;296;0.474;0.452;0.0218
MN.3;Inv;T1;450;nion.1.act25;1000;gt;c;24;X;T1_24_gt_c_para.asc;9;0.9999999999999999;0.132;0.186;0.707;0.669;0.2;0.132;0.0675;348.1;296;0.669;0.605;0.0634
MN.3;Inv;T1;450;nion.1.act25;1000;g1;d;3;X;T1_3_g1_d_para.asc;9;1;0.526;0.794;0.663;0.317;0.157;0.0452;0.112;348.1;296;0.317;0.305;0.012
MN.3;Inv;T1;450;nion.1.act25;1000;gt;c;4;X;T1_4_gt_c_para.asc;9;1;0.314;0.435;0.721;0.569;0.117;0.0693;0.0475;348.1;296;0.569;0.552;0.0173
MN.3;Inv;T1;450;nion.1.act25;1000;gc;d;5;X;T1_5_gc_d_para.asc;9;1;0.423;0.689;0.613;0.405;0.172;0.0568;0.116;348.1;296;0.405;0.386;0.0188
MN.3;Inv;T1;450;nion.1.act25;1000;g1;c;6;X;T1_6_g1_c_para.asc;9;1;0.554;0.788;0.703;0.302;0.144;0.0481;0.0963;348.1;296;0.302;0.291;0.0107
MN.3;Inv;T1;450;nion.1.act25;1000;g2;c;7;X;T1_7_g2_c_para.asc;9;1;0.207;0.33;0.628;0.619;0.175;0.0926;0.0819;348.1;296;0.619;0.593;0.0255
MN.3;Inv;T1;450;nion.1.act25;1000;gc;d;8;X;T1_8_gc_d_para.asc;9;0.9999999999999999;0.474;0.692;0.685;0.39;0.136;0.0544;0.0812;348.1;296;0.39;0.357;0.0335
MN.3;Inv;T1;450;nion.1.act25;1000;g2;c;9;X;T1_9_g2_c_para.asc;9;1;0.15;0.25;0.6;0.713;0.137;0.0725;0.0644;348.1;296;0.713;0.634;0.0792
MN.3;Inv;T0;450;nion.1.act25;1000;g2;d;1;X;T0_1_g2_d_para.asc;9;1;0.474;0.688;0.689;0.34;0.186;0.076;0.11;348.1;296;0.34;0.316;0.0244
MN.3;Inv;T0;450;nion.1.act25;1000;gt;d;10;X;T0_10_gt_d_para.asc;9;1;0.667;0.844;0.791;0.171;0.161;0.0598;0.101;348.1;296;0.171;0.144;0.0276
