ensayo;ambiente;date;ppfd.amb;protocolo;ppfd.act;genotipo;cond.hidr;pos;hoja;filt.pot;ciclo;sphi;phiPS2;qp.fo;qs.fo;phiNPQ;phiNO;phiNO.psII;phiNO.basal;time.act.On;time.act.Off;sphiNPQ;phiNPQfast;phiNPQslow
MN.3;Inv;T1;450;nion.1.act25;1000;g2;d;1;X;T1_1_g2_d_para.asc;1;1;0.203;0.315;0.645;0.526;0.271;0.15;0.12;70.1;19;0.538;0.254;0.284
MN.3;Inv;T1;450;nion.1.act25;1000;g2;d;1;X;T1_1_g2_d_para.asc;2;1;0.225;0.368;0.611;0.553;0.223;0.111;0.112;105.6;53;0.538;0.391;0.146
MN.3;Inv;T1;450;nion.1.act25;1000;g2;d;1;X;T1_1_g2_d_para.asc;3;1;0.233;0.382;0.61;0.563;0.204;0.1;0.104;141.1;87;0.538;0.444;0.0936
MN.3;Inv;T1;450;nion.1.act25;1000;g2;d;1;X;T1_1_g2_d_para.asc;4;1;0.25;0.417;0.599;0.559;0.191;0.089;0.102;175.1;121;0.538;0.471;0.0664
MN.3;Inv;T1;450;nion.1.act25;1000;g2;d;1;X;T1_1_g2_d_para.asc;5;1;0.261;0.44;0.594;0.556;0.182;0.082;0.1;210.1;156;0.538;0.488;0.0496
MN.3;Inv;T1;450;nion.1.act25;1000;g2;d;1;X;T1_1_g2_d_para.asc;6;1;0.28;0.453;0.616;0.545;0.175;0.082;0.0934;245.1;191;0.538;0.499;0.0387
MN.3;Inv;T1;450;nion.1.act25;1000;g2;d;1;X;T1_1_g2_d_para.asc;7;1;0.277;0.466;0.595;0.55;0.173;0.0759;0.0969;280.1;226;0.538;0.505;0.0328
MN.3;Inv;T1;450;nion.1.act25;1000;g2;d;1;X;T1_1_g2_d_para.asc;8;1;0.292;0.494;0.591;0.539;0.169;0.0716;0.0977;314.1;261;0.538;0.51;0.0279
MN.3;Inv;T1;450;nion.1.act25;1000;g2;d;1;X;T1_1_g2_d_para.asc;9;1.0000000000000002;0.297;0.506;0.587;0.538;0.165;0.0681;0.0969;348.1;296;0.538;0.512;0.0258
MN.3;Inv;T1;450;nion.1.act25;1000;g2;d;1;X;T1_1_g2_d_para.asc;10;NA;NA;NA;NA;NA;NA;NA;NA;381.1;331;0.538;0.514;0.0233
MN.3;Inv;T1;450;nion.1.act25;1000;gt;d;10;X;T1_10_gt_d_para.asc;1;1;0.219;0.364;0.601;0.567;0.214;0.105;0.109;70.1;19;0.395;0.267;0.128
MN.3;Inv;T1;450;nion.1.act25;1000;gt;d;10;X;T1_10_gt_d_para.asc;2;0.9999999999999998;0.268;0.424;0.632;0.556;0.175;0.0872;0.0881;105.6;53;0.395;0.341;0.0544
MN.3;Inv;T1;450;nion.1.act25;1000;gt;d;10;X;T1_10_gt_d_para.asc;3;1;0.323;0.541;0.597;0.52;0.157;0.0634;0.0934;141.1;87;0.395;0.357;0.0378
MN.3;Inv;T1;450;nion.1.act25;1000;gt;d;10;X;T1_10_gt_d_para.asc;4;1;0.355;0.564;0.63;0.496;0.149;0.0634;0.0855;175.1;121;0.395;0.365;0.0305
MN.3;Inv;T1;450;nion.1.act25;1000;gt;d;10;X;T1_10_gt_d_para.asc;5;1;0.389;0.606;0.642;0.469;0.143;0.059;0.0837;210.1;156;0.395;0.368;0.0266
MN.3;Inv;T1;450;nion.1.act25;1000;gt;d;10;X;T1_10_gt_d_para.asc;6;1;0.42;0.628;0.669;0.442;0.137;0.059;0.0784;245.1;191;0.395;0.37;0.0251
MN.3;Inv;T1;450;nion.1.act25;1000;gt;d;10;X;T1_10_gt_d_para.asc;7;1;0.434;0.657;0.661;0.429;0.137;0.0546;0.0819;280.1;226;0.395;0.372;0.0227
MN.3;Inv;T1;450;nion.1.act25;1000;gt;d;10;X;T1_10_gt_d_para.asc;8;1;0.449;0.692;0.649;0.413;0.138;0.0502;0.0881;314.1;261;0.395;0.373;0.0222
MN.3;Inv;T1;450;nion.1.act25;1000;gt;d;10;X;T1_10_gt_d_para.asc;9;1;0.468;0.699;0.669;0.395;0.137;0.052;0.0855;348.1;296;0.395;0.373;0.0219
MN.3;Inv;T1;450;nion.1.act25;1000;gt;d;10;X;T1_10_gt_d_para.asc;10;NA;NA;NA;NA;NA;NA;NA;NA;381.1;331;0.395;0.374;0.0214
MN.3;Inv;T1;450;nion.1.act25;1000;g1;c;11;X;T1_11_g1_c_para.asc;1;1;0.14;0.202;0.695;0.229;0.631;0.407;0.224;70.1;19;0.518;0.137;0.381
MN.3;Inv;T1;450;nion.1.act25;1000;g1;c;11;X;T1_11_g1_c_para.asc;2;1;0.151;0.216;0.697;0.352;0.497;0.32;0.177;105.6;53;0.518;0.317;0.2
MN.3;Inv;T1;450;nion.1.act25;1000;g1;c;11;X;T1_11_g1_c_para.asc;3;1;0.167;0.234;0.713;0.432;0.401;0.263;0.138;141.1;87;0.518;0.391;0.127
MN.3;Inv;T1;450;nion.1.act25;1000;g1;c;11;X;T1_11_g1_c_para.asc;4;1;0.186;0.269;0.693;0.485;0.328;0.204;0.124;175.1;121;0.518;0.435;0.0831
MN.3;Inv;T1;450;nion.1.act25;1000;g1;c;11;X;T1_11_g1_c_para.asc;5;1;0.217;0.314;0.691;0.506;0.277;0.168;0.109;210.1;156;0.518;0.462;0.0559
MN.3;Inv;T1;450;nion.1.act25;1000;g1;c;11;X;T1_11_g1_c_para.asc;6;1;0.24;0.342;0.7;0.517;0.244;0.148;0.0961;245.1;191;0.518;0.478;0.0396
MN.3;Inv;T1;450;nion.1.act25;1000;g1;c;11;X;T1_11_g1_c_para.asc;7;1;0.254;0.388;0.653;0.523;0.224;0.12;0.104;280.1;226;0.518;0.489;0.0285
MN.3;Inv;T1;450;nion.1.act25;1000;g1;c;11;X;T1_11_g1_c_para.asc;8;1;0.273;0.401;0.682;0.515;0.211;0.119;0.0926;314.1;261;0.518;0.496;0.0215
MN.3;Inv;T1;450;nion.1.act25;1000;g1;c;11;X;T1_11_g1_c_para.asc;9;0.9999999999999999;0.278;0.398;0.698;0.518;0.204;0.119;0.0856;348.1;296;0.518;0.5;0.0174
MN.3;Inv;T1;450;nion.1.act25;1000;g1;c;11;X;T1_11_g1_c_para.asc;10;NA;NA;NA;NA;NA;NA;NA;NA;381.1;331;0.518;0.503;0.0149
MN.3;Inv;T1;450;nion.1.act25;1000;g2;d;12;X;T1_12_g2_d_para.asc;1;1;0.147;0.24;0.611;0.607;0.247;0.134;0.112;70.1;19;0.566;0.328;0.238
MN.3;Inv;T1;450;nion.1.act25;1000;g2;d;12;X;T1_12_g2_d_para.asc;2;1;0.169;0.27;0.627;0.639;0.192;0.106;0.086;105.6;53;0.566;0.453;0.113
MN.3;Inv;T1;450;nion.1.act25;1000;g2;d;12;X;T1_12_g2_d_para.asc;3;1;0.2;0.308;0.65;0.635;0.165;0.0929;0.0722;141.1;87;0.566;0.486;0.0794
MN.3;Inv;T1;450;nion.1.act25;1000;g2;d;12;X;T1_12_g2_d_para.asc;4;1;0.214;0.313;0.685;0.634;0.151;0.0906;0.0608;175.1;121;0.566;0.506;0.06
MN.3;Inv;T1;450;nion.1.act25;1000;g2;d;12;X;T1_12_g2_d_para.asc;5;1;0.228;0.339;0.673;0.628;0.143;0.0826;0.0608;210.1;156;0.566;0.52;0.0457
MN.3;Inv;T1;450;nion.1.act25;1000;g2;d;12;X;T1_12_g2_d_para.asc;6;1;0.263;0.407;0.647;0.595;0.141;0.0734;0.0677;245.1;191;0.566;0.528;0.0373
MN.3;Inv;T1;450;nion.1.act25;1000;g2;d;12;X;T1_12_g2_d_para.asc;7;1;0.264;0.422;0.626;0.599;0.138;0.0677;0.07;280.1;226;0.566;0.532;0.0339
MN.3;Inv;T1;450;nion.1.act25;1000;g2;d;12;X;T1_12_g2_d_para.asc;8;1;0.28;0.441;0.634;0.587;0.133;0.0654;0.0677;314.1;261;0.566;0.537;0.0285
MN.3;Inv;T1;450;nion.1.act25;1000;g2;d;12;X;T1_12_g2_d_para.asc;9;1;0.301;0.459;0.657;0.566;0.133;0.0677;0.0654;348.1;296;0.566;0.541;0.025
MN.3;Inv;T1;450;nion.1.act25;1000;g2;d;12;X;T1_12_g2_d_para.asc;10;NA;NA;NA;NA;NA;NA;NA;NA;381.1;331;0.566;0.543;0.0229
MN.3;Inv;T1;450;nion.1.act25;1000;g1;d;13;X;T1_13_g1_d_para.asc;1;1;0.0776;0.11;0.704;0.319;0.604;0.41;0.193;70.1;19;0.641;0.162;0.479
MN.3;Inv;T1;450;nion.1.act25;1000;g1;d;13;X;T1_13_g1_d_para.asc;2;1;0.0868;0.129;0.674;0.441;0.473;0.304;0.169;105.6;53;0.641;0.353;0.289
MN.3;Inv;T1;450;nion.1.act25;1000;g1;d;13;X;T1_13_g1_d_para.asc;3;1;0.0993;0.153;0.648;0.511;0.39;0.237;0.152;141.1;87;0.641;0.434;0.207
