maceta	clon	tratamiento	valor	fecha	hora	pesoi	pesof	sum.riego
1	g2	d	NA	8/11/2019	NA	20.569	20.569	0
1	g2	d	NA	11/11/2019	NA	20.063	20.063	0
1	g2	d	NA	13/11/2019	NA	19.836	19.836	0
1	g2	d	NA	19/11/2019	NA	18.966	18.966	0
1	g2	d	NA	21/11/2019	8:48	18.772	18.772	0
1	g2	d	NA	22/11/2019	10:04	18.631	18.631	0
1	g2	d	NA	25/11/2019	10:11	18.544	18.544	0
1	g2	d	NA	26/11/2019	9:05	18.507	18.507	0
1	g2	d	NA	27/11/2019	11:30	18.448	18.448	0
1	g2	d	NA	28/11/2019	8:50	18.356	18.356	0
1	g2	d	NA	29/11/2019	8:50	18.256	18.256	0
1	g2	d	NA	30/11/2019	8:50	18.192	18.192	0
1	g2	d	i	1/12/2019	NA	18.103	18.103	0
1	g2	d	NA	2/12/2019	8:50	18.014	18.014	0
1	g2	d	NA	3/12/2019	9:10	17.949	17.949	0
1	g2	d	NA	4/12/2019	8:30	17.903	17.903	0
1	g2	d	NA	5/12/2019	8:50	17.855	17.855	0
1	g2	d	NA	6/12/2019	8:10	17.81	17.81	0
1	g2	d	NA	7/12/2019	8:05	17.753	17.753	0
1	g2	d	i	8/12/2019	NA	17.712	17.712	0
1	g2	d	NA	9/12/2019	8:00	17.671	17.671	0
1	g2	d	NA	10/12/2019	8:50	17.615	17.615	0
1	g2	d	NA	11/12/2019	8:50	17.541	17.591	0
1	g2	d	NA	12/12/2019	NA	17.529	17.579	0
1	g2	d	NA	13/12/2019	8:00	17.519	17.534	0
1	g2	d	i	14/12/2019	NA	17.514	17.514	0
1	g2	d	i	15/12/2019	NA	17.494	17.494	0
1	g2	d	NA	16/12/2019	8:20	17.472	17.544	0
1	g2	d	NA	17/12/2019	8:00	17.496	17.993	0
1	g2	d	NA	18/12/2019	8:00	17.795	17.795	0
1	g2	d	NA	19/12/2019	8:00	17.681	17.681	0
1	g2	d	NA	20/12/2019	8:00	17.637	17.637	0
1	g2	d	i	21/12/2019	NA	17.593	17.593	0
1	g2	d	NA	22/12/2019	8:00	17.549	17.549	0
1	g2	d	NA	23/12/2019	7:00	17.53	17.53	0
1	g2	d	NA	24/12/2019	9:00	17.483	17.529	0
1	g2	d	i	25/12/2019	NA	17.483	17.483	0
1	g2	d	NA	26/12/2019	9:00	17.436	17.533	0
1	g2	d	i	27/12/2019	NA	17.495	17.495	0
1	g2	d	NA	28/12/2019	9:00	17.456	17.53	0
1	g2	d	i	29/12/2019	NA	17.511	17.511	0
1	g2	d	NA	30/12/2019	10:00	17.491	17.591	0
1	g2	d	NA	31/12/2019	9:00	17.568	17.668	0
1	g2	d	i	1/1/2020	NA	17.589	17.589	0
1	g2	d	NA	2/1/2020	8:00	17.509	17.55	0
1	g2	d	i	3/1/2020	NA	17.502	17.502	0
1	g2	d	NA	4/1/2020	9:00	17.453	17.525	0
1	g2	d	i	5/1/2020	NA	17.447	17.4465	0
1	g2	d	NA	6/1/2020	7:00	17.368	17.575	0
1	g2	d	i	7/1/2020	NA	17.484	17.484	0
1	g2	d	NA	8/1/2020	8:15	17.393	17.54	0
1	g2	d	i	9/1/2020	NA	17.455	17.455	0
1	g2	d	NA	10/1/2020	8:00	17.37	17.536	0
1	g2	d	i	11/1/2020	NA	17.447	17.447	0
1	g2	d	NA	12/1/2020	9:00	17.358	17.534	0
1	g2	d	i	13/1/2020	NA	17.447	17.447	0
1	g2	d	NA	14/1/2020	10:00	17.36	17.535	0
1	g2	d	i	15/1/2020	NA	17.489	17.489	0
1	g2	d	NA	16/1/2020	8:20	17.421	17.538	0
1	g2	d	i	17/1/2020	NA	17.443	17.443	0
1	g2	d	NA	18/1/2020	7:20	17.348	17.529	0
1	g2	d	i	19/1/2020	NA	17.4345	17.4345	0
1	g2	d	NA	20/1/2020	7:45	17.34	17.538	0
1	g2	d	i	21/1/2020	NA	17.438	17.438	0
1	g2	d	NA	22/1/2020	8:00	17.338	17.535	0
1	g2	d	i	23/1/2020	NA	17.432	17.432	0
1	g2	d	NA	24/1/2020	7:40	17.329	17.533	0
1	g2	d	i	25/1/2020	NA	17.421	17.421	0
1	g2	d	NA	26/1/2020	8:00	17.309	17.536	0
1	g2	d	i	27/1/2020	NA	17.4345	17.4345	0
1	g2	d	NA	28/1/2020	8:00	17.333	17.538	0
1	g2	d	i	29/1/2020	NA	17.4505	17.4505	0
1	g2	d	NA	30/1/2020	8:00	17.363	17.529	0
1	g2	d	i	31/1/2020	NA	17.428	17.428	0
1	g2	d	NA	1/2/2020	7:30	17.327	17.536	0
1	g2	d	i	2/2/2020	NA	17.43	17.43	0
1	g2	d	NA	3/2/2020	8:00	17.324	17.532	0
1	g2	d	i	4/2/2020	NA	17.4135	17.4135	0
1	g2	d	NA	5/2/2020	8:00	17.295	17.532	0
1	g2	d	i	6/2/2020	NA	17.422	17.422	0
1	g2	d	NA	7/2/2020	NA	17.311	17.532	0
1	g2	d	i	8/2/2020	NA	17.447	17.447	0
1	g2	d	i	9/2/2020	NA	17.362	17.362	0
1	g2	d	NA	10/2/2020	NA	17.275	17.53	0
1	g2	d	i	11/2/2020	NA	17.437	17.437	0
1	g2	d	NA	12/2/2020	NA	17.344	17.537	0
1	g2	d	i	13/2/2020	NA	17.4	17.4	0
1	g2	d	i	14/2/2020	NA	17.263	17.263	0.554
1	g2	d	NA	15/2/2020	NA	17.68	17.68	0
1	g2	d	i	16/2/2020	NA	17.561	17.5605	0
1	g2	d	NA	17/2/2020	NA	17.441	17.529	0
1	g2	d	i	18/2/2020	NA	17.4565	17.4565	0
1	g2	d	NA	19/2/2020	NA	17.384	17.536	0
