curva	nplaca	vagua	pesoagua	pot	placaf	placas	tierras	pesoplaca
c1	1	80	0.0608	-40.5	30.846	30.7852	6.4148	24.3704
c1	2	160	0.1348	-7.17	31.0299	30.8951	6.4054	24.4897
c1	3	240	0.1474	-2.45	31.1093	30.9619	6.413	24.5489
c1	4	320	0.2666	-0.83	31.3817	31.1151	6.5358	24.5793
c1	5	400	0.3566	-0.33	31.42	31.0634	6.5502	24.5132
c1	6	480	0.3923	-0.33	31.357	30.9647	6.3918	24.5729
c1	7	560	0.4995	-0.35	31.4861	30.9866	6.49	24.4966
c1	8	640	0.5267	-0.2	31.6851	31.1584	6.4659	24.6925
c1	9	720	0.6298	-0.24	31.5464	30.9166	6.4248	24.4918
c1	10	800	0.6845	-0.12	31.4102	30.7257	6.5388	24.1869
c1	11	880	0.7491	-0.16	31.7893	31.0402	6.6387	24.4015
c1	12	960	0.7416	-0.21	31.885	31.1434	6.5267	24.6167
c1	13	1040	0.9034	-0.14	31.8416	30.9382	6.484	24.4542
c1	14	1120	0.9897	-0.09	31.9841	30.9944	6.4926	24.5018
c1	15	1200	1.0553	-0.14	32.0603	31.005	6.5442	24.4608
c2	1	80	0.0685	-10.25	30.4714	30.4029	6.0325	24.3704
c2	2	160	0.1477	-1.17	30.6683	30.5206	6.0309	24.4897
c2	3	240	0.2029	-0.48	30.7917	30.5888	6.0399	24.5489
c2	4	320	0.3305	-0.45	30.9075	30.577	5.9977	24.5793
c2	5	400	0.388	-0.38	30.9324	30.5444	6.0312	24.5132
c2	6	480	0.4616	-0.26	31.0606	30.599	6.0261	24.5729
c2	7	560	0.778	-0.21	31.2916	30.5136	6.017	24.4966
c2	8	640	0.7465	-0.18	31.4634	30.7169	6.0244	24.6925
c2	9	720	0.8284	-0.14	31.3589	30.5305	6.0387	24.4918
c2	10	800	0.7857	-0.22	30.9933	30.2076	6.0207	24.1869
c2	11	880	0.9771	-0.22	31.4174	30.4403	6.0388	24.4015
c2	12	960	1.0329	-0.2	31.7008	30.6679	6.0512	24.6167
c2	13	1040	1.0506	-0.21	31.5395	30.4889	6.0347	24.4542
c2	14	1120	1.199	-0.19	31.7557	30.5567	6.0549	24.5018
c2	15	1200	1.7138	-0.13	31.9692	30.2554	5.7946	24.4608
c3	1	80	0.0815	-11.16	30.4711	30.3896	6.0192	24.3704
c3	2	160	0.1567	-1.62	30.6736	30.5169	6.0272	24.4897
c3	3	240	0.203	-0.93	30.7579	30.5549	6.006	24.5489
c3	4	320	0.3078	-0.54	30.9086	30.6008	6.0215	24.5793
c3	5	400	0.3684	-0.45	30.8899	30.5215	6.0083	24.5132
c3	6	480	0.5301	-0.28	31.1156	30.5855	6.0126	24.5729
c3	7	560	0.5356	0.3	31.0417	30.5061	6.0095	24.4966
c3	8	640	0.6682	-0.22	31.3664	30.6982	6.0057	24.6925
c3	9	720	0.7595	-0.11	31.2447	30.4852	5.9934	24.4918
c3	10	800	1.1724	-0.09	31.3575	30.1851	5.9982	24.1869
c3	11	880	0.6527	-0.04	31.0555	30.4028	6.0013	24.4015
c3	12	960	0.9714	-0.2	31.5834	30.612	5.9953	24.6167
c3	13	1040	1.0832	-0.06	31.5366	30.4534	5.9992	24.4542
c3	14	1120	1.1276	-0.14	31.6303	30.5027	6.0009	24.5018
c3	15	1200	1.2531	-0.03	31.73	30.4769	6.0161	24.4608
c4	1	80	0.1119	-21.74	30.487	30.3751	6.0047	24.3704
c4	2	160	0.1852	-3.57	30.6711	30.4859	5.9962	24.4897
c4	3	240	0.271	-1.73	30.7811	30.5101	5.9612	24.5489
c4	4	320	0.3365	-0.72	30.8981	30.5616	5.9823	24.5793
c4	5	400	0.416	-0.4	30.9269	30.5109	5.9977	24.5132
c4	6	480	0.4707	-0.21	31.004	30.5333	5.9604	24.5729
c4	7	560	0.5805	-0.27	31.0791	30.4986	6.002	24.4966
c4	8	640	0.6774	-0.2	31.2488	30.5714	5.8789	24.6925
c4	9	720	0.7899	-0.2	31.2702	30.4803	5.9885	24.4918
c4	10	800	1.0641	-0.16	31.2405	30.1764	5.9895	24.1869
c4	11	880	0.6681	-0.16	31.0226	30.3545	5.953	24.4015
c4	12	960	1.1367	-0.07	31.7473	30.6106	5.9939	24.6167
c4	13	1040	1.1677	-0.14	31.5778	30.4101	5.9559	24.4542
c4	14	1120	1.1572	-0.12	31.6433	30.4861	5.9843	24.5018
c4	15	1200	1.2796	-0.05	31.7094	30.4298	5.969	24.4608
