Muestra	presion	masa.muestra	masa.seca	masa.anillo	masa.papel.gomita	masa.sustra.f	masa.sustrat.seco	Dap	masa.agua	HP	HV	PTcalculo
M70	0.03	178.8	155.2	68.3	3.3	107.2	80.3	1.168850073	26.9	33.50	39.16	55.89
M70	0.06	172	155.2	68.3	3.3	100.4	80.3	1.168850073	20.1	25.03	29.26	55.89
M70	0.1	170.9	155.2	68.3	3.3	97.1	80.3	1.168850073	16.8	20.92	24.45	55.89
M70	0.33	166.2	155.2	68.3	3.3	91.3	80.3	1.168850073	11	13.70	16.01	55.89
M70	1	165.7	155.2	68.3	3.3	90.8	80.3	1.168850073	10.5	13.08	15.28	55.89
M66	0.03	183.4	158.5	67.6	3.2	112.6	84.5	1.229985444	28.1	33.25443787	40.90247453	53.58545494
M66	0.06	175.3	158.5	67.6	3.2	104.5	84.5	1.229985444	20	23.66863905	29.11208151	53.58545494
M66	0.1	173.7	158.5	67.6	3.2	101.3	84.5	1.229985444	16.8	19.8816568	24.45414847	53.58545494
M66	0.33	170.2	158.5	67.6	3.2	96.2	84.5	1.229985444	11.7	13.84615385	17.03056769	53.58545494
M66	1	168.3	158.5	67.6	3.2	94.3	84.5	1.229985444	9.8	11.59763314	14.26491994	53.58545494
M71	0.03	184.5	159	70.2	3.3	111	82.2	1.19650655	28.8	35.03649635	41.92139738	54.84880943
M71	0.06	175.8	159	70.2	3.3	102.3	82.2	1.19650655	20.1	24.45255474	29.25764192	54.84880943
M71	0.1	174.2	159	70.2	3.3	99	82.2	1.19650655	16.8	20.4379562	24.45414847	54.84880943
M71	0.33	170.6	159	70.2	3.3	93.8	82.2	1.19650655	11.6	14.11192214	16.88500728	54.84880943
M71	1	168.8	159	70.2	3.3	92	82.2	1.19650655	9.8	11.92214112	14.26491994	54.84880943
M13	0.03	180.9	155.6	67.4	3.3	110.2	81.6	1.187772926	28.6	35.04901961	41.63027656	55.17838016
M13	0.06	172.6	155.6	67.4	3.3	101.9	81.6	1.187772926	20.3	24.87745098	29.54876274	55.17838016
M13	0.1	170.9	155.6	67.4	3.3	98.6	81.6	1.187772926	17	20.83333333	24.74526929	55.17838016
M13	0.33	167.4	155.6	67.4	3.3	93.4	81.6	1.187772926	11.8	14.46078431	17.17612809	55.17838016
M13	1	166.1	155.6	67.4	3.3	92.1	81.6	1.187772926	10.5	12.86764706	15.28384279	55.17838016
M14	0.03	181.8	155.6	65.6	3.3	112.9	84.4	1.22852984	28.5	33.76777251	41.48471616	53.6403834
M14	0.06	175.4	155.6	65.6	3.3	106.5	84.4	1.22852984	22.1	26.18483412	32.16885007	53.6403834
M14	0.1	171.7	155.6	65.6	3.3	103.2	84.4	1.22852984	18.8	22.27488152	27.36535662	53.6403834
M14	0.33	167.8	155.6	65.6	3.3	95.6	84.4	1.22852984	11.2	13.27014218	16.30276565	53.6403834
M14	1	165.8	155.6	65.6	3.3	93.6	84.4	1.22852984	9.2	10.90047393	13.3915575	53.6403834
M18	0.03	180.2	154.6	67.3	3.2	109.7	80.9	1.177583697	28.8	35.59950556	41.92139738	55.56287935
M18	0.06	174	154.6	67.3	3.2	103.5	80.9	1.177583697	22.6	27.93572311	32.89665211	55.56287935
M18	0.1	167.4	154.6	67.3	3.2	100.3	80.9	1.177583697	19.4	23.9802225	28.23871907	55.56287935
M18	0.33	166.3	154.6	67.3	3.2	92.6	80.9	1.177583697	11.7	14.46229913	17.03056769	55.56287935
M18	1	165.5	154.6	67.3	3.2	91.8	80.9	1.177583697	10.9	13.47342398	15.86608443	55.56287935
